Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2020-11-22;33,00;0,00;0,00
2020-11-29;33,00;0,00;0,00
2020-12-06;33,00;0,00;0,00
2020-12-13;0,00;0,00;0,00
2020-12-20;36,00;0,00;0,00
2020-12-27;35,00;35,00;0,00
2021-01-03;33,00;0,00;0,00
2021-01-10;67,00;0,00;0,00
2021-01-17;98,00;0,00;0,00
2021-01-24;32,00;0,00;0,00
2021-01-31;66,00;0,00;0,00
2021-02-07;0,00;0,00;0,00
2021-02-14;0,00;0,00;0,00
2021-02-21;34,00;0,00;0,00
2021-02-28;0,00;0,00;0,00
2021-03-07;0,00;33,00;33,00
2021-03-14;0,00;0,00;0,00
2021-03-21;0,00;0,00;0,00
2021-03-28;0,00;0,00;0,00
2021-04-04;0,00;34,00;0,00
2021-04-11;34,00;34,00;0,00
2021-04-18;35,00;0,00;0,00
2021-04-25;0,00;0,00;0,00
2021-05-02;32,00;0,00;0,00
2021-05-09;0,00;34,00;0,00
2021-05-16;0,00;0,00;0,00
2021-05-23;0,00;0,00;0,00
2021-05-30;35,00;0,00;0,00
2021-06-06;0,00;0,00;0,00
2021-06-13;0,00;33,00;0,00
2021-06-20;34,00;0,00;0,00
2021-06-27;0,00;0,00;0,00
2021-07-04;0,00;0,00;0,00
2021-07-11;0,00;0,00;0,00
2021-07-18;0,00;0,00;0,00
2021-07-25;38,00;0,00;0,00
2021-08-01;38,00;0,00;0,00
2021-08-08;0,00;0,00;0,00
2021-08-15;38,00;0,00;38,00
2021-08-22;40,00;0,00;0,00
2021-08-29;0,00;0,00;0,00
2021-09-05;0,00;0,00;41,00
2021-09-12;0,00;0,00;0,00
2021-09-19;40,00;0,00;0,00
2021-09-26;39,00;0,00;78,00
2021-10-03;0,00;0,00;0,00
2021-10-10;0,00;40,00;0,00
2021-10-17;0,00;0,00;0,00
2021-10-24;0,00;39,00;0,00
