Semaine;Martinique (LC);Barbade (BB);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC)
2019-12-22;11,00;56,10;14,00;11,00;59,00;14,00
2019-12-29;15,00;65,36;22,00;11,00;73,00;24,00
2020-01-05;17,00;73,31;24,00;12,00;84,00;25,00
2020-01-12;21,00;58,80;22,00;14,00;70,00;30,00
2020-01-19;20,00;64,21;20,00;13,00;76,00;27,00
2020-01-26;20,00;55,79;20,00;9,00;61,00;21,00
2020-02-02;15,00;53,57;17,00;10,00;70,00;23,00
2020-02-09;15,00;64,29;18,00;8,00;66,00;21,00
2020-02-16;11,00;57,00;14,00;10,00;59,00;22,00
2020-02-23;7,00;55,00;14,00;9,00;62,00;20,00
2020-03-01;10,00;54,44;15,00;8,00;71,00;14,00
2020-03-08;13,00;53,08;22,00;7,00;94,00;17,00
2020-03-15;6,00;41,00;11,00;7,00;50,00;6,00
2020-03-22;3,00;30,00;5,00;2,00;18,00;4,00
2020-03-29;4,00;24,00;6,00;1,00;16,00;4,00
2020-04-05;3,00;23,00;3,00;2,00;13,00;4,00
2020-04-12;1,00;22,00;5,00;2,00;15,00;4,00
2020-04-19;3,00;20,00;4,00;3,00;11,00;4,00
2020-04-26;3,00;21,00;5,00;3,00;14,00;5,00
2020-05-03;4,00;20,00;6,00;1,00;15,00;5,00
2020-05-10;3,00;18,00;5,00;2,00;11,00;4,00
2020-05-17;2,00;20,00;5,00;2,00;12,00;5,00
2020-05-24;2,00;17,00;3,00;2,00;12,00;4,00
2020-05-31;4,00;22,00;6,00;3,00;20,00;7,00
2020-06-07;2,00;20,00;6,00;2,00;15,00;5,00
2020-06-14;2,00;21,00;6,00;2,00;14,00;5,00
2020-06-21;3,00;34,50;6,00;1,00;12,00;5,00
2020-06-28;2,00;18,00;6,00;4,00;13,00;6,00
2020-07-05;3,00;42,00;5,00;3,00;15,00;4,00
2020-07-12;3,00;34,00;4,00;3,00;15,00;5,00
2020-07-19;2,00;35,00;5,00;4,00;15,00;4,00
2020-07-26;4,00;62,00;6,00;3,00;16,00;6,00
2020-08-02;2,00;30,00;8,00;3,00;17,00;3,00
2020-08-09;4,00;29,00;6,00;2,00;18,00;4,00
2020-08-16;4,00;30,00;6,00;2,00;16,00;5,00
2020-08-23;4,00;22,00;6,00;2,00;12,00;4,00
2020-08-30;4,00;23,00;4,00;3,00;14,00;5,00
2020-09-06;4,00;26,00;6,00;2,00;12,00;4,00
2020-09-13;2,00;39,00;6,00;3,00;15,00;7,00
2020-09-20;3,00;29,00;4,00;1,00;15,00;6,00
2020-09-27;2,00;25,00;6,00;1,00;16,00;3,00
2020-10-04;3,00;25,00;4,00;3,00;12,00;4,00
2020-10-11;4,00;29,00;6,00;3,00;17,00;5,00
2020-10-18;3,00;28,00;7,00;3,00;17,00;5,00
2020-10-25;4,00;22,00;5,00;4,00;15,00;5,00
2020-11-01;2,00;24,00;3,00;1,00;13,00;5,00
2020-11-08;4,00;27,00;4,00;3,00;13,00;4,00
2020-11-15;2,00;28,00;5,00;1,00;21,00;4,00
2020-11-22;3,00;26,00;5,00;1,00;17,00;5,00
2020-11-29;3,00;34,00;7,00;3,00;15,00;4,00
2020-12-06;4,00;25,00;6,00;4,00;17,00;5,00
2020-12-13;3,00;33,00;7,00;2,00;18,00;7,00
2020-12-20;3,00;30,00;6,00;4,00;19,00;5,00
2020-12-27;6,00;70,80;6,00;4,00;27,00;11,00
2021-01-03;6,00;57,60;5,00;3,00;20,00;5,00
2021-01-10;4,00;41,33;6,00;4,00;18,00;6,00
2021-01-17;3,00;31,00;6,00;4,00;14,00;6,00
2021-01-24;3,00;32,00;4,00;2,00;14,00;3,00
2021-01-31;2,00;24,00;3,00;2,00;13,00;3,00
2021-02-07;4,00;23,00;4,00;2,00;16,00;5,00
2021-02-14;2,00;21,00;7,00;2,00;15,00;3,00
2021-02-21;2,00;21,00;6,00;2,00;12,00;4,00
2021-02-28;2,00;22,00;3,00;2,00;14,00;3,00
2021-03-07;2,00;26,00;4,00;4,00;12,00;3,00
2021-03-14;3,00;25,00;5,00;2,00;16,00;4,00
2021-03-21;1,00;24,00;7,00;2,00;19,00;6,00
2021-03-28;2,00;18,00;4,00;3,00;17,00;5,00
2021-04-04;3,00;27,00;4,00;3,00;17,00;6,00
2021-04-11;4,00;33,33;5,00;3,00;12,00;5,00
2021-04-18;2,00;18,00;4,00;3,00;16,00;4,00
2021-04-25;2,00;21,00;4,00;4,00;16,00;4,00
2021-05-02;3,00;25,00;6,00;4,00;14,00;3,00
2021-05-09;3,00;21,00;6,00;4,00;16,00;7,00
2021-05-16;3,00;24,00;5,00;1,00;17,00;6,00
2021-05-23;3,00;20,00;4,00;4,00;17,00;7,00
2021-05-30;3,00;20,00;4,00;2,00;18,00;8,00
2021-06-06;5,00;28,75;5,00;3,00;22,00;7,00
2021-06-13;6,00;27,00;8,00;7,00;21,00;8,00
2021-06-20;4,00;26,00;8,00;3,00;26,00;6,00
2021-06-27;6,00;40,80;8,00;3,00;26,00;11,00
2021-07-04;5,00;31,00;5,00;5,00;27,00;6,00
2021-07-11;9,00;33,00;11,00;5,00;26,00;7,00
2021-07-18;4,00;33,00;8,00;4,00;32,00;8,00
2021-07-25;6,00;32,00;9,00;4,00;39,00;9,00
2021-08-01;8,00;34,00;12,00;6,00;30,00;9,00
2021-08-08;4,00;30,00;7,00;3,00;30,00;7,00
2021-08-15;4,00;29,00;7,00;4,00;35,00;6,00
2021-08-22;3,00;38,00;6,00;4,00;30,00;6,00
2021-08-29;5,00;33,75;6,00;4,00;24,00;7,00
2021-09-05;2,00;27,00;6,00;3,00;28,00;5,00
2021-09-12;2,00;28,00;4,00;6,00;29,00;10,00
2021-09-19;3,00;32,00;4,00;4,00;29,00;9,00
2021-09-26;5,00;31,00;7,00;5,00;34,00;9,00
2021-10-03;6,00;36,00;6,00;4,00;35,00;11,00
2021-10-10;6,00;45,60;7,00;8,00;38,00;9,00
2021-10-17;5,00;38,00;8,00;4,00;50,00;10,00
2021-10-24;5,00;40,00;11,00;6,00;40,00;5,00
2021-10-31;9,00;40,00;12,00;5,00;43,00;13,00
2021-11-07;7,00;44,33;11,00;7,00;42,00;10,00
2021-11-14;9,00;29,00;19,00;8,00;46,00;12,00
2021-11-21;8,00;37,00;18,00;6,00;45,00;8,00
2021-11-28;8,00;114,29;15,00;4,00;44,00;8,00
2021-12-05;5,00;39,00;10,00;4,00;40,00;10,00
2021-12-12;3,00;35,00;8,00;4,00;40,00;10,00
2021-12-19;4,00;32,00;6,00;4,00;35,00;7,00
2021-12-26;6,00;48,00;8,00;6,00;38,00;7,00
2022-01-02;6,00;43,00;8,00;7,00;42,00;10,00
2022-01-09;4,00;41,00;11,00;6,00;40,00;10,00
2022-01-16;6,00;47,00;12,00;7,00;36,00;10,00
2022-01-23;4,00;46,00;10,00;8,00;42,00;13,00
2022-01-30;7,00;48,00;12,00;10,00;50,00;12,00
2022-02-06;7,00;59,50;13,00;7,00;46,00;14,00
2022-02-13;7,00;64,17;15,00;10,00;60,00;18,00
2022-02-20;9,00;65,00;15,00;9,00;64,00;19,00
2022-02-27;13,00;57,42;17,00;11,00;61,00;18,00
2022-03-06;10,00;56,00;12,00;9,00;60,00;16,00
2022-03-13;10,00;61,11;11,00;9,00;58,00;20,00
2022-03-20;12,00;51,00;16,00;9,00;55,00;16,00
2022-03-27;10,00;64,44;16,00;9,00;55,00;17,00
2022-04-03;9,00;52,88;15,00;6,00;49,00;13,00
2022-04-10;8,00;58,29;14,00;7,00;47,00;13,00
2022-04-17;9,00;50,63;14,00;7,00;43,00;16,00
2022-04-24;12,00;39,00;10,00;5,00;50,00;12,00
2022-05-01;10,00;42,22;10,00;6,00;39,00;11,00
2022-05-08;9,00;34,88;8,00;4,00;35,00;10,00
2022-05-15;6,00;30,00;10,00;6,00;27,00;7,00
2022-05-22;7,00;29,00;10,00;6,00;31,00;7,00
2022-05-29;6,00;30,00;9,00;4,00;29,00;7,00
2022-06-05;7,00;27,00;9,00;4,00;27,00;9,00
2022-06-12;8,00;34,29;10,00;5,00;35,00;9,00
2022-06-19;8,00;29,71;11,00;5,00;29,00;10,00
2022-06-26;7,00;32,67;12,00;7,00;42,00;9,00
2022-07-03;7,00;36,00;10,00;6,00;31,00;8,00
2022-07-10;6,00;27,00;10,00;7,00;36,00;10,00
