Semaine;Martinique (LC);Barbade (BB);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC)
2021-11-21;14,00;78,40;59,00;6,00;25,00;0,00
2021-11-28;21,00;262,50;19,00;0,00;50,00;13,00
2021-12-05;7,00;60,67;33,00;0,00;52,00;13,00
2021-12-12;15,00;72,00;21,00;7,00;20,00;20,00
2021-12-19;17,00;42,50;78,00;15,00;23,00;15,00
2021-12-26;0,00;17,00;45,00;0,00;36,00;0,00
2022-01-02;8,00;37,33;29,00;0,00;35,00;7,00
2022-01-09;15,00;70,00;36,00;0,00;21,00;14,00
2022-01-16;21,00;55,13;47,00;7,00;33,00;0,00
2022-01-23;6,00;90,00;18,00;6,00;29,00;6,00
2022-01-30;14,00;28,00;19,00;0,00;6,00;6,00
2022-02-06;27,00;59,40;6,00;0,00;25,00;6,00
2022-02-13;0,00;8,00;21,00;5,00;46,00;21,00
2022-02-20;6,00;60,00;21,00;0,00;30,00;10,00
2022-02-27;0,00;12,00;16,00;0,00;31,00;5,00
2022-03-06;6,00;36,00;37,00;0,00;62,00;0,00
2022-03-13;0,00;10,00;26,00;0,00;15,00;0,00
2022-03-20;5,00;45,00;21,00;0,00;15,00;0,00
2022-03-27;0,00;20,00;9,00;5,00;23,00;14,00
2022-04-03;10,00;50,00;14,00;0,00;18,00;9,00
2022-04-10;6,00;75,00;27,00;0,00;26,00;5,00
2022-04-17;16,00;61,33;10,00;0,00;19,00;14,00
2022-04-24;15,00;27,50;24,00;0,00;23,00;19,00
2022-05-01;10,00;37,50;5,00;0,00;38,00;5,00
2022-05-08;5,00;37,50;0,00;0,00;15,00;10,00
2022-05-15;18,00;18,00;11,00;0,00;44,00;0,00
2022-05-22;6,00;54,00;23,00;0,00;11,00;6,00
2022-05-29;18,00;38,57;28,00;0,00;11,00;11,00
2022-06-05;0,00;12,00;12,00;6,00;12,00;0,00
2022-06-12;13,00;72,80;18,00;6,00;24,00;18,00
2022-06-19;21,00;13,13;6,00;0,00;12,00;6,00
2022-06-26;0,00;16,00;6,00;6,00;12,00;6,00
2022-07-03;6,00;42,00;49,00;0,00;41,00;0,00
2022-07-10;15,00;55,00;7,00;0,00;21,00;0,00
