Semaine;Martinique (LC);Barbade (BB);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC)
2020-03-08;0,00;19,00;7,00;0,00;7,00;0,00
2020-03-15;7,00;7,00;27,00;0,00;7,00;0,00
2020-03-22;7,00;19,25;0,00;0,00;20,00;7,00
2020-03-29;0,00;0,00;0,00;0,00;26,00;0,00
2020-04-05;7,00;14,00;7,00;0,00;0,00;7,00
2020-04-12;0,00;19,00;7,00;0,00;0,00;0,00
2020-04-19;0,00;12,00;21,00;0,00;21,00;0,00
2020-04-26;6,00;6,00;0,00;0,00;13,00;0,00
2020-05-03;0,00;0,00;7,00;7,00;13,00;7,00
2020-05-10;6,00;16,50;20,00;0,00;13,00;6,00
2020-05-17;0,00;16,00;7,00;0,00;21,00;0,00
2020-05-24;7,00;7,00;7,00;0,00;14,00;0,00
2020-05-31;0,00;23,00;0,00;0,00;27,00;0,00
2020-06-07;13,00;27,86;6,00;0,00;7,00;0,00
2020-06-14;7,00;7,00;7,00;0,00;14,00;14,00
2020-06-21;0,00;0,00;7,00;0,00;8,00;0,00
2020-06-28;0,00;16,00;14,00;7,00;0,00;0,00
2020-07-05;0,00;8,00;0,00;0,00;7,00;0,00
2020-07-12;8,00;26,00;0,00;0,00;16,00;8,00
2020-07-19;0,00;4,00;8,00;0,00;8,00;0,00
2020-07-26;7,00;36,75;0,00;7,00;8,00;0,00
2020-08-02;7,00;22,75;15,00;7,00;23,00;0,00
2020-08-09;0,00;8,00;44,00;7,00;7,00;0,00
2020-08-16;0,00;0,00;7,00;0,00;14,00;0,00
2020-08-23;0,00;4,00;14,00;7,00;0,00;7,00
2020-08-30;0,00;8,00;7,00;0,00;0,00;7,00
2020-09-06;0,00;4,00;0,00;13,00;0,00;0,00
2020-09-13;0,00;20,00;14,00;0,00;0,00;7,00
2020-09-20;0,00;4,00;7,00;0,00;14,00;0,00
2020-09-27;0,00;8,00;0,00;0,00;7,00;0,00
2020-10-04;0,00;20,00;21,00;0,00;14,00;0,00
2020-10-11;0,00;0,00;0,00;0,00;16,00;0,00
2020-10-18;0,00;8,00;7,00;0,00;0,00;0,00
2020-10-25;0,00;8,00;7,00;0,00;0,00;7,00
2020-11-01;0,00;16,00;0,00;0,00;14,00;0,00
2020-11-08;0,00;13,00;7,00;0,00;0,00;0,00
2020-11-15;0,00;4,00;7,00;7,00;15,00;0,00
2020-11-22;0,00;16,00;0,00;0,00;7,00;0,00
2020-11-29;0,00;4,00;0,00;0,00;0,00;7,00
2020-12-06;7,00;7,00;14,00;0,00;7,00;7,00
2020-12-13;7,00;35,00;14,00;0,00;0,00;0,00
2020-12-20;17,00;17,00;8,00;8,00;26,00;0,00
2020-12-27;0,00;14,00;24,00;8,00;32,00;0,00
2021-01-03;0,00;12,00;21,00;0,00;0,00;7,00
2021-01-10;14,00;14,00;7,00;0,00;14,00;0,00
2021-01-17;7,00;42,00;7,00;0,00;0,00;0,00
2021-01-24;7,00;7,00;0,00;0,00;0,00;0,00
2021-01-31;7,00;28,00;0,00;0,00;7,00;0,00
2021-02-07;7,00;36,75;7,00;14,00;15,00;0,00
2021-02-14;8,00;26,00;8,00;0,00;16,00;0,00
2021-02-21;0,00;8,00;0,00;0,00;7,00;0,00
2021-02-28;0,00;17,00;0,00;0,00;7,00;0,00
2021-03-07;7,00;43,75;7,00;0,00;0,00;7,00
2021-03-14;0,00;4,00;7,00;7,00;21,00;0,00
2021-03-21;0,00;0,00;0,00;0,00;15,00;7,00
2021-03-28;0,00;9,00;0,00;0,00;16,00;0,00
2021-04-04;7,00;29,75;29,00;0,00;22,00;7,00
2021-04-11;15,00;39,38;22,00;7,00;0,00;0,00
2021-04-18;0,00;9,00;8,00;8,00;0,00;0,00
2021-04-25;0,00;13,00;0,00;8,00;8,00;0,00
2021-05-02;0,00;12,00;7,00;0,00;7,00;0,00
2021-05-09;8,00;18,00;8,00;0,00;16,00;0,00
2021-05-16;0,00;4,00;0,00;0,00;15,00;0,00
2021-05-23;0,00;4,00;0,00;0,00;15,00;0,00
2021-05-30;8,00;36,80;8,00;8,00;16,00;0,00
2021-06-06;0,00;4,00;0,00;0,00;16,00;0,00
2021-06-13;0,00;4,00;8,00;0,00;8,00;0,00
2021-06-20;8,00;8,00;8,00;0,00;24,00;0,00
2021-06-27;8,00;26,00;39,00;8,00;24,00;0,00
2021-07-04;0,00;5,00;8,00;0,00;8,00;0,00
2021-07-11;9,00;45,00;17,00;0,00;0,00;0,00
2021-07-18;0,00;16,00;0,00;0,00;46,00;9,00
2021-07-25;16,00;32,00;16,00;0,00;8,00;8,00
2021-08-01;0,00;14,00;0,00;0,00;17,00;0,00
2021-08-08;0,00;18,00;8,00;8,00;16,00;0,00
2021-08-15;0,00;13,00;0,00;0,00;16,00;0,00
2021-08-22;0,00;0,00;34,00;0,00;17,00;8,00
2021-08-29;9,00;18,00;25,00;0,00;9,00;8,00
2021-09-05;9,00;27,00;17,00;0,00;35,00;0,00
2021-09-12;0,00;15,00;25,00;8,00;9,00;0,00
2021-09-19;0,00;5,00;34,00;0,00;9,00;0,00
2021-09-26;0,00;5,00;25,00;0,00;17,00;0,00
2021-10-03;9,00;43,20;8,00;0,00;26,00;0,00
2021-10-10;0,00;15,00;0,00;0,00;18,00;0,00
2021-10-17;9,00;27,00;0,00;0,00;27,00;9,00
2021-10-24;0,00;29,00;0,00;0,00;26,00;0,00
2021-10-31;0,00;29,00;0,00;0,00;8,00;0,00
2021-11-07;8,00;38,40;17,00;0,00;42,00;0,00
2021-11-14;8,00;28,80;8,00;8,00;16,00;0,00
2021-11-21;0,00;0,00;32,00;0,00;24,00;8,00
2021-11-28;8,00;160,00;0,00;8,00;32,00;0,00
2021-12-05;16,00;48,00;8,00;24,00;24,00;0,00
2021-12-12;8,00;36,80;24,00;0,00;8,00;16,00
2021-12-19;10,00;28,33;0,00;10,00;20,00;0,00
2021-12-26;19,00;36,27;0,00;0,00;19,00;0,00
2022-01-02;0,00;18,00;16,00;0,00;40,00;8,00
2022-01-09;0,00;19,00;8,00;0,00;41,00;8,00
2022-01-16;0,00;18,00;8,00;0,00;40,00;8,00
2022-01-23;7,00;35,00;7,00;0,00;51,00;0,00
2022-01-30;8,00;34,00;23,00;0,00;15,00;0,00
2022-02-06;8,00;70,00;8,00;8,00;31,00;0,00
2022-02-13;7,00;38,50;19,00;0,00;26,00;13,00
2022-02-20;0,00;24,00;24,00;0,00;42,00;0,00
2022-02-27;6,00;31,50;6,00;6,00;19,00;6,00
2022-03-06;6,00;21,00;12,00;6,00;63,00;6,00
2022-03-13;0,00;18,00;19,00;0,00;25,00;6,00
2022-03-20;19,00;19,00;6,00;0,00;31,00;0,00
2022-03-27;11,00;29,33;39,00;0,00;40,00;0,00
2022-04-03;12,00;10,29;17,00;0,00;12,00;6,00
2022-04-10;7,00;19,25;7,00;7,00;41,00;0,00
2022-04-17;0,00;7,00;18,00;0,00;24,00;6,00
2022-04-24;0,00;3,00;0,00;12,00;18,00;0,00
2022-05-01;0,00;10,00;6,00;0,00;18,00;0,00
2022-05-08;6,00;27,00;18,00;0,00;37,00;0,00
2022-05-15;0,00;4,00;0,00;7,00;20,00;0,00
2022-05-22;0,00;4,00;0,00;0,00;41,00;7,00
2022-05-29;0,00;15,00;20,00;0,00;34,00;0,00
2022-06-05;7,00;0,00;14,00;0,00;7,00;7,00
2022-06-12;0,00;16,00;14,00;0,00;7,00;0,00
2022-06-19;7,00;22,75;7,00;0,00;30,00;0,00
2022-06-26;0,00;8,00;22,00;7,00;15,00;0,00
2022-07-03;8,00;16,00;15,00;0,00;15,00;7,00
2022-07-10;0,00;10,00;18,00;0,00;18,00;0,00
